referrer_source,referrer_name,location_city,ua_form_factor,location_region,referrer_host,day,total_visitors,total_sessions,total_checkouts,total_carts,total_orders_placed
Social,Instagram,Kennesaw,Mobile,Georgia,instagram.com,2023-09-09,1,1,0,0,0
Social,Facebook,Dallas,Mobile,Georgia,lm.facebook.com,2023-08-04,1,1,0,0,0
Social,Instagram,Porterville,Mobile,California,l.instagram.com,2023-09-28,1,1,0,0,0
Social,Facebook,Minneapolis,Mobile,Minnesota,m.facebook.com,2023-08-22,1,1,0,0,0
Social,Instagram,Maricopa,Mobile,Arizona,l.instagram.com,2023-08-27,1,1,0,0,0
Social,Facebook,Augusta,Mobile,Maine,m.facebook.com,2023-08-03,1,1,0,0,0
Social,Instagram,Frisco,Mobile,Texas,l.instagram.com,2023-08-22,1,1,0,0,0
Social,Facebook,Minneapolis,Mobile,Minnesota,m.facebook.com,2023-08-30,1,1,0,0,0
Social,Instagram,Ashburn,Mobile,Virginia,l.instagram.com,2023-07-20,1,1,0,0,0
Social,Facebook,Vallejo,Mobile,California,l.facebook.com,2023-09-09,1,1,0,0,0
Social,Instagram,Altoona,Mobile,Pennsylvania,instagram.com,2023-07-08,1,1,0,0,0
Social,Facebook,Minneapolis,Mobile,Minnesota,l.facebook.com,2023-09-13,1,1,0,0,0
Social,Instagram,Lake Worth,Mobile,Florida,l.instagram.com,2023-09-29,1,1,0,1,0
Social,Facebook,Fort Wayne,Mobile,Indiana,m.facebook.com,2023-07-13,1,1,1,1,0
Social,Instagram,Lake Worth,Mobile,Florida,l.instagram.com,2023-08-07,1,1,1,0,0
Social,Facebook,Hermitage,Mobile,Pennsylvania,m.facebook.com,2023-08-30,1,1,0,0,0
Social,Instagram,Portland,Mobile,Oregon,l.instagram.com,2023-07-30,1,1,0,0,0
Social,Facebook,Wappingers Falls,Mobile,New York,l.facebook.com,2023-07-16,1,1,0,0,0
Social,Instagram,Portland,Mobile,Oregon,l.instagram.com,2023-08-07,1,1,0,0,0
Social,Facebook,Reading,Mobile,Pennsylvania,m.facebook.com,2023-07-22,1,1,0,0,0
Social,Instagram,Portland,Mobile,Oregon,instagram.com,2023-08-30,1,1,0,0,0
Social,Facebook,Fort Wayne,Mobile,Indiana,m.facebook.com,2023-07-27,1,1,0,0,0
Social,Instagram,New Baltimore,Tablet,Michigan,l.instagram.com,2023-09-20,1,1,0,0,0
Social,Facebook,Canoga Park,Mobile,California,m.facebook.com,2023-09-27,1,1,0,0,0
Social,Instagram,La Grange,Mobile,Kentucky,l.instagram.com,2023-08-24,1,1,0,0,0
Social,Facebook,Spring,Mobile,Texas,m.facebook.com,2023-08-10,1,1,0,0,0
Social,Instagram,Avon,Mobile,Colorado,l.instagram.com,2023-09-24,1,1,0,0,0
Social,Facebook,Fontana,Mobile,California,l.facebook.com,2023-08-31,1,1,0,0,0
Social,Instagram,Bloomfield Hills,Mobile,Michigan,l.instagram.com,2023-07-12,1,1,0,0,0
Social,Facebook,Sydney,Mobile,New South Wales,m.facebook.com,2023-08-10,1,1,0,0,0
Social,Instagram,Olathe,Mobile,Kansas,l.instagram.com,2023-09-23,1,1,0,0,0
Social,Facebook,Fontana,Desktop,California,l.facebook.com,2023-07-28,1,1,0,0,0
Social,Instagram,North Branch,Mobile,Michigan,www.instagram.com,2023-09-14,1,1,0,1,0
Social,Facebook,Memphis,Mobile,Tennessee,m.facebook.com,2023-08-08,1,1,0,0,0
Social,Instagram,Salisbury,Mobile,North Carolina,l.instagram.com,2023-08-02,1,1,0,0,0
Social,Facebook,Sevierville,Mobile,Tennessee,m.facebook.com,2023-09-22,1,1,0,0,0
Social,Instagram,Melrose,Mobile,Florida,l.instagram.com,2023-09-08,1,1,0,0,0
Social,Facebook,Fredericksburg,Mobile,Virginia,lm.facebook.com,2023-07-08,1,1,0,0,0
Social,Instagram,Parkersburg,Mobile,West Virginia,l.instagram.com,2023-08-05,1,1,0,0,0
Social,Facebook,West Greenwich,Mobile,Rhode Island,m.facebook.com,2023-09-24,1,1,0,0,0
Social,Instagram,Woodland Hills,Mobile,California,l.instagram.com,2023-09-27,1,1,0,0,0
Social,Facebook,Parrish,Mobile,Florida,m.facebook.com,2023-09-27,1,1,0,0,0
Social,Instagram,Bel Air,Mobile,Maryland,www.instagram.com,2023-08-19,1,1,0,0,0
Social,Facebook,Carteret,Mobile,New Jersey,m.facebook.com,2023-09-10,1,1,0,0,0
Social,Instagram,Henderson,Mobile,Nevada,l.instagram.com,2023-09-06,1,1,0,0,0
Social,Facebook,Comanche,Mobile,Oklahoma,m.facebook.com,2023-08-25,1,1,0,0,0
Social,Instagram,Tewksbury,Mobile,Massachusetts,l.instagram.com,2023-09-14,1,1,0,0,0
Social,Facebook,Oklahoma City,Mobile,Oklahoma,m.facebook.com,2023-08-15,1,1,0,0,0
Social,Facebook,Indianapolis,Mobile,Indiana,l.facebook.com,2023-08-02,1,1,0,0,0
